0,0,0
0,0,-0.01
0,0,-0.01
0,0,-0.01
0.010317,0.000166251,2.99
0.0210134,0.00117853,7.35
0.0300155,0.00267249,10.57
0.0444626,0.0060491,15.25
0.0582721,0.0104599,19.31
0.0761935,0.0176558,23.84
0.0952867,0.0270429,27.92
0.109717,0.0353924,31.42
0.130475,0.0493005,35.44
0.148849,0.0635257,39.31
0.170643,0.0829054,43.37
0.186386,0.098881,46.64
0.20182,0.116255,49.55
0.223293,0.143737,53.8
0.243891,0.174433,57.83
0.260581,0.203398,61.48
0.276311,0.234389,63.59
0.29955,0.278299,61.19
0.319992,0.312024,56.56
0.344544,0.344923,50.74
0.374156,0.375917,42.65
0.415149,0.407821,34.61
0.447832,0.428418,30.91
0.487767,0.451705,30.11
0.527473,0.475127,30.74
0.581144,0.504403,26.26
0.62328,0.522526,20.95
0.673987,0.539488,17.04
0.718291,0.552071,15.23
0.762976,0.564404,15.92
0.807644,0.578014,17.74
0.859388,0.595661,19.33
0.904168,0.611139,18.55
0.941962,0.623015,16.67
0.996078,0.637712,14.26
1.04329,0.648735,12.14
1.10001,0.657723,6.46
1.14135,0.660591,2.49
1.20062,0.661019,-0.5
1.25226,0.660391,-0.54
1.31384,0.660686,0.8
1.36774,0.661436,0.58
1.43184,0.661464,-0.58
1.48811,0.660002,-2.09
1.54524,0.657575,-2.55
1.60391,0.654981,-2.49
1.67388,0.652112,-2.21
1.74575,0.649968,-1.3
1.79819,0.649033,-0.82
1.87329,0.648917,0.76
1.93891,0.652787,5.65
2.00491,0.666051,16.05
2.06663,0.694894,32.22
2.11692,0.742506,50.81
2.15692,0.813165,67.03
2.17967,0.89141,77.53
2.1912,0.959899,82.27
2.19641,1.0288,88.55
2.18458,1.11899,104.87
2.1721,1.16239,105.55
